"","mode_Ea","min_Ea","max_Ea","mode_peak","min_peak","max_peak","mode_ampl","min_ampl","max_ampl","mode_a","min_a","max_a","mode_b","min_b","max_b"
"control.france",438.41290814175,416.267393916475,460.406254606196,234.670286599876,88.022452185189,296.423900713437,-0.0284774647771764,-0.0852546550337952,0.0727202365533654,3.07785475641931,2.60018577969758,3.56219748625107,2.42025390025424,1.90562620526099,2.89808834796497
"clear_cut_no_slash.france",472.347233322015,447.827733790489,503.700303753181,221.332646758129,92.4419535466434,291.295285410743,-0.0226788365005195,-0.0812867919805952,0.057380379931901,3.03739356943303,2.56621972915696,3.53869585853454,2.40166216406165,1.91597752714821,2.89926423503176
"clear_cut_slash.france",426.602162743216,404.015577925225,446.83590042251,243.447703386073,82.4725639794105,289.044388332852,-0.0512872933462505,-0.108243177414164,0.0832643896615733,3.09191840164265,2.5948715044534,3.55978459971298,2.39129893174342,1.89455689897407,2.87163994911247
"thinning_no_slash.france",448.616291286968,424.079470434471,473.480443004882,245.412997214326,84.4933016755223,294.295340177597,-0.0438135348134497,-0.101229445972449,0.0800042162542978,3.03777723502898,2.56281785336701,3.53095367684983,2.40146445241809,1.91331558401944,2.88364399434943
"thinning_slash.france",436.416324718731,416.8414014794,461.447880813734,261.065090332794,83.07249528488,299.105496592536,-0.0574426080696818,-0.115602915074734,0.107857857671021,3.06523963632317,2.57819577286185,3.5467608037463,2.44270967902935,1.93307197339557,2.89126954947144
"control.romania",462.677476201007,439.645027447637,488.344496724974,210.52501497302,96.5374607493945,287.2321107265,-0.0228139783475449,-0.0619078900564798,0.0294542026183623,3.07583905079321,2.58245265132795,3.54552310455022,2.3936793988528,1.93025198526917,2.90706692526071
"clear_cut_no_slash.romania",462.85064211431,440.095885395934,485.777093636709,213.212494666892,101.863863138188,281.762766674891,-0.0219866439777607,-0.0628832474198828,0.0246738912422061,3.06449374684302,2.56146326846495,3.53405083036304,2.43577901148302,1.9471386672471,2.91523631832869
"clear_cut_slash.romania",460.253998959509,436.663022114428,481.248274624456,211.621937509769,97.9626280335788,287.010321107605,-0.0176424316597373,-0.0566601701330995,0.0277813290053972,3.06817955753474,2.57404606692315,3.55429187788245,2.4566807550189,1.92778305192587,2.90478939404618
"thinning_no_slash.romania",467.180699711168,442.246567538365,491.960208455266,218.455131412212,93.4326682500382,289.38198398564,-0.0120835272866441,-0.056803041553868,0.0325238909724959,3.03209006577425,2.5474575716662,3.52865867451433,2.41496483234027,1.95952962544672,2.93145671143946
"thinning_slash.romania",460.631801583696,437.826757475615,483.374496586666,222.820167527394,102.116622501962,276.639607887338,-0.0258544056583196,-0.0690096007924011,0.0238099203353996,3.07824418159291,2.56889045701841,3.54587647912357,2.45482464724747,1.93753469320125,2.91793101246758
"control.spain",398.335393742712,379.927863771858,413.202795771857,206.509266167322,95.4779216884447,297.327440338576,-0.00670784532760148,-0.0450323643316916,0.0443476125364641,3.06567559484209,2.62205002206683,3.5802975492332,2.46278225752211,1.95559100899504,2.90906023881941
"clear_cut_no_slash.spain",453.838612571481,432.073022849059,475.525438190144,200.496090565766,98.7544959631284,286.602971086434,-0.0164707314766204,-0.0539518436525445,0.0252459155992633,2.99220372297156,2.50833621463785,3.48061224519201,2.3946834843197,1.93195758202107,2.8939117478263
"clear_cut_slash.spain",408.944411050848,388.829459727308,427.554417760011,132.148829942988,93.7605645104915,308.991692702081,-0.0407610756216685,-0.074607788302144,0.071392412453816,2.96773232046127,2.50599220671251,3.46193168828345,2.29652120301337,1.79068844348081,2.73374282120609
"thinning_no_slash.spain",450.698442345774,429.196571219264,470.485238367725,199.797632340083,104.987697637391,283.558529953505,-0.0208460114039013,-0.0560304452327477,0.0233530941616255,3.03585029722532,2.56927470823871,3.5411984285108,2.4450636458829,1.93799434283719,2.91756545587185
"thinning_slash.spain",399.240743931638,381.000034214429,413.884083190423,239.07938189576,91.5714209255999,297.265451273018,-0.0017177448085864,-0.0455054143907015,0.0497651709809663,3.08837710011518,2.64148999779714,3.60406438108011,2.41770577984137,1.92824927191297,2.89210200889073
