"","mode_Ea","min_Ea","max_Ea","mode_peak","min_peak","max_peak","mode_ampl","min_ampl","max_ampl","mode_a","min_a","max_a","mode_b","min_b","max_b"
"control.france",350.080623072725,318.675449459081,388.51249759865,154.330499598581,88.1792665466103,258.957860600472,0.0159983414754489,0.00121944422668665,0.0689697233846891,3.1080920376572,2.92171272685234,3.31201312334442,2.42140156292854,2.2212090780614,2.60735151585599
"clear_cut_no_slash.france",369.482266672614,335.003492468313,437.982385535612,160.708664816156,77.386623515427,267.163311974842,0.00642854710930179,0.00102746219962761,0.0627222704514682,3.10973183068495,2.91472129715736,3.3127104693033,2.41101716590237,2.22620217960799,2.61262834880141
"clear_cut_slash.france",347.551679175009,320.254373839939,381.238399646328,137.609215900271,75.0669868247006,254.161173665926,0.0103385084234297,0.00116548943848365,0.0722621248881079,3.13674784461968,2.93183957332079,3.31600883362541,2.39502976403056,2.21206109824608,2.60842103190944
"thinning_no_slash.france",391.165080266924,348.125939863903,475.605890195388,127.43811775893,68.4480180832276,253.092295435625,0.0075277694660511,0.00108190720134439,0.0751410597863988,3.11121810221513,2.92014190060221,3.31300121317875,2.40072882033688,2.21463388633249,2.60655294701586
"thinning_slash.france",345.021827184558,317.338564268108,390.193946330316,140.20151132342,81.3081530463061,240.538952160487,0.0227154919811575,0.00195314759513078,0.0818843834052524,3.1159306994868,2.92116695822145,3.31566114446874,2.4155191715155,2.22007744744965,2.60643211312486
"control.romania",389.971819427117,354.698204935659,446.780948229961,204.753838413407,67.2830464124224,297.189306927648,0.00361114745245199,0.000421250938522728,0.0440670873584749,3.11444925068282,2.91743712362368,3.30602923228243,2.42387829624321,2.22228318207557,2.61240012016399
"clear_cut_no_slash.romania",391.390718421562,355.473710590385,433.353786417173,203.301195286091,71.2806128075571,297.474130087086,0.00331750979620022,0.00050813639654192,0.0462489113039196,3.11351631671608,2.91854819895963,3.30696149393415,2.41331306593489,2.21795709671983,2.61064434727969
"clear_cut_slash.romania",391.517267605296,357.855670848849,434.073058219827,219.822875036186,81.14894656876,296.891882378696,0.00395117486062166,0.000502283903998977,0.0483892584658968,3.10856128944948,2.92465926295745,3.3029546100714,2.40321498650994,2.2209131994286,2.6101946958705
"thinning_no_slash.romania",385.570492411351,347.736049875305,436.704266430614,205.017144366016,64.62888394497,297.111050389227,0.00297290963867667,0.000442740864418433,0.0437588109650674,3.11826179264708,2.91988805014006,3.30518826632684,2.39395039871395,2.21743400475835,2.61284487466608
"thinning_slash.romania",384.156332548577,348.584222023614,425.229118615667,177.940661518369,54.7009165616066,299.508684183845,0.0028746590300273,0.000419846341725438,0.0429918677282334,3.12449383656442,2.91894974229402,3.30755934873923,2.42129363675551,2.22066120282594,2.608728843921
"control.spain",342.715852011586,320.061158098117,362.334224298745,241.37246235202,163.690734849453,277.582469041888,0.046286196649897,0.00585375646859579,0.0862787999024391,3.13507406392041,2.94740948803522,3.33256128644654,2.41129480394849,2.21446979543863,2.60467678726028
"clear_cut_no_slash.spain",398.832503218187,367.771325755171,431.888032711828,191.443227228405,78.7509268061667,288.570270056051,0.00332809967017734,0.000598664478227083,0.0439410497868297,3.12054537329611,2.92157866509954,3.31194499083349,2.43162315696902,2.23053842868185,2.60896184301613
"clear_cut_slash.spain",362.237017829788,339.801170052752,388.703843103165,259.972752789837,74.0333334695965,306.920690216711,0.00354536308043657,0.000485678539459343,0.0574917952533082,3.12532814710559,2.92732109757376,3.31685638094705,2.42203936236375,2.22592568124777,2.62218913762448
"thinning_no_slash.spain",394.570720479793,360.784749303461,430.26670340507,177.870464265093,80.5010948693453,276.363674446166,0.00345321800729924,0.000569692669163981,0.0412433235847833,3.09913800289086,2.92339133384866,3.3108649589676,2.42314289984752,2.22235410018667,2.61366976954
"thinning_slash.spain",346.976647499154,325.739615741001,367.818674096228,237.130286152747,181.040240001044,268.210507232174,0.0589709765101367,0.0122700316116273,0.096439223440495,3.14035764332403,2.94226710883056,3.32316586088201,2.40914359903986,2.2219254236208,2.61961269651067
